index,Name,Roll no.,OS,DAA,ML,Gender,Total,average,Grade,Status
1,jbdptaqgpo,21CSE1494,33,34,23,F,90,30.0,F,F
2,zmowkfqdqn,21CSE1345,54,92,19,F,165,55.0,D,P
3,kbncejfdiz,21BRS1173,89,58,62,M,209,69.66666666666667,C,P
4,lrekzbtbzz,21BAI1130,55,45,25,M,125,41.666666666666664,E,P
5,lilkxtrhto,21CSE1531,26,28,19,F,73,24.333333333333332,F,F
6,lmfwayvkxj,21CPS1176,62,79,33,F,174,58.0,D,P
7,vpkeyxlsos,21CPS1334,30,83,99,F,212,70.66666666666667,C,P
8,mvgqulyrcf,21BRS1184,35,18,49,F,102,34.0,F,F
9,vrlvlfuzkt,21CPS1004,30,31,38,F,99,33.0,F,F
10,sqmrvslmrh,21BAI1296,37,88,54,F,179,59.666666666666664,D,P
11,vmcipkmpzg,21CPS1316,9,55,85,F,149,49.666666666666664,E,P
12,oxgbyahbil,21BAI1134,28,63,27,F,118,39.333333333333336,F,F
13,lxxdkdmadf,21CPS1333,55,48,46,F,149,49.666666666666664,E,P
14,lvocbmqkic,21BAI1427,16,48,19,M,83,27.666666666666668,F,F
15,dlqikqifev,21BAI1455,49,13,6,F,68,22.666666666666668,F,F
16,qrtnuaazwk,21BAI1592,37,28,20,M,85,28.333333333333332,F,F
17,uqkrvdjuxv,21BRS1173,25,99,95,M,219,73.0,B,P
18,wwszryynon,21BAI1481,24,63,35,F,122,40.666666666666664,F,P
19,ckowxwsain,21CPS1452,20,46,13,F,79,26.333333333333332,F,F
20,zqknuyxuhw,21BAI1335,56,28,39,F,123,41.0,E,P
21,guwnlaxwxd,21BAI1299,45,8,72,F,125,41.666666666666664,E,P
22,ggfhuvegls,21CPS1097,19,87,99,M,205,68.33333333333333,C,P
23,cbtbcoumfc,21CSE1572,13,50,23,M,86,28.666666666666668,F,F
24,lwkfypelnj,21CPS1262,50,17,48,F,115,38.333333333333336,F,F
25,opecnxodix,21CPS1592,94,42,64,F,200,66.66666666666667,C,P
26,gjdkhagpsk,21BRS1361,72,97,34,M,203,67.66666666666667,C,P
27,igqenqwvao,21CPS1083,3,47,92,M,142,47.333333333333336,E,P
28,lyfjkotnxm,21CSE1501,71,97,89,F,257,85.66666666666667,A,P
29,yoxavrmgzt,21BRS1385,37,46,96,F,179,59.666666666666664,D,P
30,jkxdabdcsx,21CPS1325,34,100,64,M,198,66.0,C,P
31,drkdxchbtb,21CSE1157,59,18,28,M,105,35.0,F,F
32,vuugpfrllw,21CSE1069,78,99,61,F,238,79.33333333333333,B,P
33,wdmrchdgsa,21CPS1416,56,34,6,F,96,32.0,F,F
34,jupnralwwo,21CSE1443,79,60,59,M,198,66.0,C,P
35,ebwzewenus,21CSE1472,94,5,41,F,140,46.666666666666664,E,P
36,csduiotjjv,21BRS1078,51,8,83,M,142,47.333333333333336,E,P
37,fzefjffzaq,21BRS1582,20,36,4,M,60,20.0,F,F
38,ajautzknhb,21CPS1593,78,22,20,M,120,40.0,F,F
39,htlemekgov,21CPS1275,39,85,9,M,133,44.333333333333336,E,P
40,grtpebxkcy,21BRS1103,100,79,53,M,232,77.33333333333333,B,P
41,lnocpwcamn,21CPS1111,35,27,14,F,76,25.333333333333332,F,F
42,aqefxxyyua,21CPS1198,94,24,70,F,188,62.666666666666664,C,P
43,prdpqevvde,21BAI1151,97,84,56,F,237,79.0,B,P
44,plzrihmckg,21BAI1460,77,60,48,M,185,61.666666666666664,C,P
45,gaicvqxzoe,21BAI1072,32,84,6,M,122,40.666666666666664,F,P
46,rewvmkpyas,21BRS1170,72,49,8,F,129,43.0,E,P
47,zuaaczdgvd,21BAI1377,14,91,72,F,177,59.0,D,P
48,kmuedwfcqg,21BRS1425,89,29,28,M,146,48.666666666666664,E,P
49,vhpqawknun,21BAI1195,88,94,42,M,224,74.66666666666667,B,P
50,ikvgyubtbj,21CPS1471,76,13,26,M,115,38.333333333333336,F,F
51,zzanypnidr,21CPS1253,80,7,36,F,123,41.0,E,P
52,arhdvjreuo,21BAI1534,70,70,20,F,160,53.333333333333336,D,P
53,lkzjtlkovk,21CPS1540,28,86,72,F,186,62.0,C,P
54,lsuorujkzv,21BRS1527,81,80,0,F,161,53.666666666666664,D,P
55,wfkylpeixb,21BRS1402,13,96,70,M,179,59.666666666666664,D,P
56,rpwwrsmlan,21CPS1130,90,17,92,F,199,66.33333333333333,C,P
57,rmjrjgqomp,21CSE1593,77,67,98,F,242,80.66666666666667,B,P
58,jsfoamkefv,21BAI1447,31,95,28,M,154,51.333333333333336,D,P
59,ivwxkvolii,21BAI1443,82,64,74,F,220,73.33333333333333,B,P
60,kjqysyujja,21BRS1537,82,53,57,F,192,64.0,C,P
61,vnrmjxrkza,21CSE1277,65,90,38,M,193,64.33333333333333,C,P
62,rkjngfykem,21CPS1164,24,47,20,F,91,30.333333333333332,F,F
63,pmhgdpuhzz,21BRS1270,58,46,15,M,119,39.666666666666664,F,F
64,uocirwabrn,21BRS1418,78,38,80,F,196,65.33333333333333,C,P
65,fsfuvymdvp,21CSE1502,66,34,84,F,184,61.333333333333336,C,P
66,ppkcndmlvw,21CPS1300,7,54,78,F,139,46.333333333333336,E,P
67,funhmmjaae,21BRS1202,16,50,82,M,148,49.333333333333336,E,P
68,cpbhyjphyc,21BAI1076,97,12,38,F,147,49.0,E,P
69,uoqsicalmx,21CSE1568,75,80,53,F,208,69.33333333333333,C,P
70,wqzrlcmfse,21CPS1567,39,81,35,F,155,51.666666666666664,D,P
71,eahwyyjqsw,21CPS1584,42,1,84,F,127,42.333333333333336,E,P
72,kjugjuolop,21BAI1596,89,46,60,M,195,65.0,C,P
73,awgscbljnz,21CPS1026,36,96,54,F,186,62.0,C,P
74,mbowxesyjh,21BRS1553,40,55,38,F,133,44.333333333333336,E,P
75,zuqdjqgugt,21BAI1022,54,93,85,M,232,77.33333333333333,B,P
76,mbsisxbeoe,21CSE1123,40,58,16,F,114,38.0,F,F
77,kkmzfsuhrd,21BAI1331,44,90,55,F,189,63.0,C,P
78,phnjtttimx,21CSE1209,16,94,53,M,163,54.333333333333336,D,P
79,ejupbrcwjw,21CSE1180,97,93,29,M,219,73.0,B,P
80,qbtircpeiv,21CPS1567,61,5,30,F,96,32.0,F,F
81,lozmhhlivk,21BAI1288,67,99,56,F,222,74.0,B,P
82,cybdipyawd,21CSE1537,39,85,56,M,180,60.0,D,P
83,vvlegueent,21CSE1172,93,32,27,F,152,50.666666666666664,E,P
84,djmnfnienb,21CPS1467,64,15,74,F,153,51.0,D,P
85,czevdpqblv,21BRS1100,85,77,94,F,256,85.33333333333333,A,P
86,opjuirsorh,21CPS1579,11,84,33,M,128,42.666666666666664,E,P
87,nvzbcwtpje,21CSE1421,76,68,61,M,205,68.33333333333333,C,P
88,rjqxrjbqvc,21BRS1222,90,76,48,F,214,71.33333333333333,B,P
89,wyqythzzij,21BAI1336,40,59,3,M,102,34.0,F,F
90,akpzkupela,21BAI1466,78,10,33,M,121,40.333333333333336,F,P
91,wmcxuiglma,21BAI1241,5,70,13,M,88,29.333333333333332,F,F
92,fsxodwzaeu,21CPS1246,2,35,53,M,90,30.0,F,F
93,omlfvtsirn,21BAI1013,35,42,32,M,109,36.333333333333336,F,F
94,pwjctzhhqz,21BAI1483,32,49,40,M,121,40.333333333333336,F,P
95,wiqdcaspgk,21BRS1077,3,94,69,F,166,55.333333333333336,D,P
96,ztglferfai,21BAI1532,61,6,97,M,164,54.666666666666664,D,P
97,ctglexlbpf,21CPS1494,38,34,65,M,137,45.666666666666664,E,P
98,zaxgwjuxnv,21CSE1281,99,100,25,M,224,74.66666666666667,B,P
99,yyaznhruwc,21BAI1575,75,4,49,M,128,42.666666666666664,E,P
100,houhhohrac,21BAI1474,9,70,9,F,88,29.333333333333332,F,F
101,uusvzbuizn,21BRS1157,66,70,95,F,231,77.0,B,P
102,tqfuklrzqp,21CPS1195,59,100,0,F,159,53.0,D,P
103,cknngctvfp,21CPS1568,39,7,37,M,83,27.666666666666668,F,F
104,ektoddvndd,21CPS1326,69,25,14,M,108,36.0,F,F
105,hjbzgaaxyu,21BRS1573,100,4,88,F,192,64.0,C,P
106,dvidobmvvk,21BAI1434,100,35,88,M,223,74.33333333333333,B,P
107,emevddcnan,21CPS1268,3,65,64,F,132,44.0,E,P
108,qvblpbkjta,21CPS1078,64,93,27,M,184,61.333333333333336,C,P
109,tnflgrbkaw,21BRS1412,36,82,65,F,183,61.0,C,P
110,iriemxziqb,21CSE1222,21,75,19,F,115,38.333333333333336,F,F
111,gfprpzxzhu,21CPS1142,57,11,33,M,101,33.666666666666664,F,F
112,updzppvffb,21BAI1165,52,42,27,F,121,40.333333333333336,F,P
113,aerjnpmwxu,21CPS1481,53,5,90,M,148,49.333333333333336,E,P
114,bnzwntdvvd,21CPS1069,61,60,71,F,192,64.0,C,P
115,mqgkeprbgl,21CSE1052,75,45,3,F,123,41.0,E,P
116,fhggcwcgev,21BAI1220,97,26,89,F,212,70.66666666666667,C,P
117,hjcksedvbw,21BRS1333,19,83,33,M,135,45.0,E,P
